00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 9 à 9
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=680 R=1 S=10/03/24 E=10/03/24 +276 =128 -276
012 Belgian Interclubs 2023 - 2024 - Round 9
022 Various locations in Belgian Clubs
032 BEL
042 2024-03-10
052 2024-03-10
062 680
102 Cornet, Luc
132                                                                                        24.03.10 
001    1      Mathys, Yassine                      0           25047             0.5          2 w = 
001    2      Vienne, Corentin                     0           26065             0.5          1 b = 
001    3      Bergamini, Massimo                1497           23740             0.0          4 w 0 
001    4      Renkens, Stef                     1586           53881             1.0          3 b 1 
001    5      Keppens, James                    1473           25382             1.0          6 w 1 
001    6      Massoulie, Francois               1419           82457             0.0          5 b 0 
001    7      Castiau, Julien                   1485           55549             0.0          8 w 0 
001    8      Talloen, Bert                     1365           15459             1.0          7 b 1 
001    9      De Mol, Patrick                   1765           57011             0.5         10 w = 
001   10      Servais, Frédéric                 1743           12208             0.5          9 b = 
001   11      De Caevel, Bernard                1630           10699             1.0         12 w 1 
001   12      Pepermans, Jelle                  1688           34045             0.0         11 b 0 
001   13      Maesschalck, Vincent              1648           31895             0.0         14 w 0 
001   14      Hans, Samuel                         0           26465             1.0         13 b 1 
001   15      Drakidis, Basile                     0           28086             1.0         16 w 1 
001   16      Geerts, Steven                    1476           98431             0.0         15 b 0 
001   17      Hinkel, Kira                         0           24536             0.0         18 w 0 
001   18      Daems, Thibaut                    1461           23263             1.0         17 b 1 
001   19      Pauwels, Wout                     1388           16062             0.5         20 w = 
001   20      Pereiro, Jorge                    1466           21451             0.5         19 b = 
001   21      Gatta, Bruno                      1330           58017             0.0         22 w 0 
001   22      Migerode, Sten                       0           25219             1.0         21 b 1 
001   23      De Cat, Timo                         0           21599             0.0         24 w 0 
001   24      Grasis, Marks                        0           26988             1.0         23 b 1 
001   25      Meerschman, Maxime                1387           60220             0.0         26 w 0 
001   26      Cazenave, Bruno                   1555           24975             1.0         25 b 1 
001   27      Van De Craen, Piet                1524            7013             1.0         28 w 1 
001   28      Hairy, Nima                          0           27397             0.0         27 b 0 
001   29      Dutillieux, Valentin                 0           27399             1.0         30 w 1 
001   30      Rotthier, Géry                    1355           45365             0.0         29 b 0 
