00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 6 à 6
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=944 R=1 S=28/01/24 E=28/01/24 +329 =286 -329
012 Belgian Interclubs 2023 - 2024 - Round 6
022 Various locations in Belgian Clubs
032 BEL
042 2024-01-28
052 2024-01-28
062 944
102 Cornet, Luc
132                                                                                        24.01.28 
001    1      Guliyev, Namig                    2531           64661             0.5          2 w = 
001    2      Ikonnikov, Vyacheslav             2459           99627             0.5          1 b = 
001    3      Peek, Marcel                      2240           28151             0.5          4 w = 
001    4      Droin, Augustin                   2468           27441             0.5          3 b = 
001    5      Sochacki, Christophe              2452           17720             1.0          6 w 1 
001    6      Hovenga, Alje                     2163           15081             0.0          5 b 0 
001    7      Deberdt, Joris                    2120           14103             0.0          8 w 0 
001    8      Razafindratsima, Timothé          2459           27443             1.0          7 b 1 
001    9      Marechal, Andy                    2318           50211             1.0         10 w 1 
001   10      Osterwald, Elwin                  2089           16639             0.0          9 b 0 
001   11      Groffen, Hans                     2064           24601             1.0         12 w 1 
001   12      Bolzoni, Victor-Angel             2193           66150             0.0         11 b 0 
001   13      Denayer, Eric                     2125           76929             1.0         14 w 1 
001   14      Willemsma, Abe                    2036           19870             0.0         13 b 0 
001   15      Galle, Andre                      1987           38342             0.0         16 w 0 
001   16      Werner, Ivan                      2072           50474             1.0         15 b 1 
001   17      Berelowitsch, Alexander           2485           95012             1.0         18 w 1 
001   18      Bauer, Christian                  2552           78794             0.0         17 b 0 
001   19      Laurent-Paoli, Pierre             2533           27004             0.5         20 w = 
001   20      Seel, Christian                   2477           81574             0.5         19 b = 
001   21      Klein, Felix                      2300           98574             0.0         22 w 0 
001   22      Van Der Stricht, Geert            2325           44504             1.0         21 b 1 
001   23      Ruzhansky, Elias                  2230           21132             1.0         24 w 1 
001   24      Harff, Marcel                     2295           14131             0.0         23 b 0 
001   25      Ahn, Martin                       2186           93815             0.0         26 w 0 
001   26      Victor, Julian                    2176           16868             1.0         25 b 1 
001   27      Goormachtigh, Johan               2184            1864             0.5         28 w = 
001   28      Meessen, Rudolf                   2173             345             0.5         27 b = 
001   29      Sonntag, Hans-Hubert              2286           98680             0.5         30 w = 
001   30      Vanheirzeele, Daniel              2051           35572             0.5         29 b = 
001   31      De Geest, Hannes                  1971           16865             0.5         32 w = 
001   32      Marcziter, Dmitrii                2223           10824             0.5         31 b = 
001   33      Sirosh, Ilja                      2363           24765             0.5         34 w = 
001   34      Leenhouts, Koen                   2445           35181             0.5         33 b = 
001   35      Vandenbussche, Thibaut            2434           25836             1.0         36 w 1 
001   36      Goossens, Roel                    2370           23108             0.0         35 b 0 
