00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 7 à 7
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=678 R=1 S=04/02/24 E=04/02/24 +283 =112 -283
012 Belgian Interclubs 2023 - 2024 - Round 7
022 Various locations in Belgian Clubs
032 BEL
042 2024-02-04
052 2024-02-04
062 678
102 Cornet, Luc
132                                                                                        24.02.04 
001    1      Herpigny, Yves                    1631           86045             1.0          2 w 1 
001    2      Vienne, Corentin                     0           26065             0.0          1 b 0 
001    3      Bergamini, Massimo                1497           23740             1.0          4 w 1 
001    4      Padovano, Quentin                 1461           60619             0.0          3 b 0 
001    5      Urbanska Richel, Cassiel             0           23063             1.0          6 w 1 
001    6      Massoulie, Francois               1419           82457             0.0          5 b 0 
001    7      Castiau, Julien                   1485           55549             1.0          8 w 1 
001    8      Hans, Samuel                         0           26465             0.0          7 b 0 
001    9      Vanvlierberghe, Leonard           1539           25483             0.5         10 w = 
001   10      Daems, Thibaut                    1461           23263             0.5          9 b = 
001   11      Migerode, Sten                       0           25219             1.0         12 w 1 
001   12      De Ganck, Pieter                     0           27059             0.0         11 b 0 
001   13      Donvil, Hendrik                      0           26965             0.5         14 w = 
001   14      De Cat, Timo                         0           21599             0.5         13 b = 
001   15      Bynens, Fons                         0           25344             1.0         16 w 1 
001   16      Vanden Broeck, Dries                 0           20072             0.0         15 b 0 
001   17      De Mol, Patrick                   1765           57011             0.0         18 w 0 
001   18      Thierens, Christian               1815           49425             1.0         17 b 1 
001   19      Van De Craen, Piet                1524            7013             0.0         20 w 0 
001   20      Pepermans, Jelle                  1688           34045             1.0         19 b 1 
001   21      Boustany, Georges                 1547           17662             1.0         22 w 1 
001   22      Rotthier, Géry                    1355           45365             0.0         21 b 0 
001   23      Desadeleer, Geoffrey              1323           16626             1.0         24 w 1 
001   24      Geerts, Steven                    1476           98431             0.0         23 b 0 
001   25      Wolff, Oren                       1387           19619             1.0         26 w 1 
001   26      Mathieu, Alfred                   1615           45641             0.0         25 b 0 
001   27      Moens, Bernard                    1625           93661             1.0         28 w 1 
001   28      Gatta, Bruno                      1330           58017             0.0         27 b 0 
001   29      Grammatikopoulos, Ioannis         1300           19684             1.0         30 w 1 
001   30      Cuitte, Olivier                   1476           90085             0.0         29 b 0 
001   31      Engelen, Audric                   1398           76708             1.0         32 w 1 
001   32      Rojas Fernández, Álvaro              0           26980             0.0         31 b 0 
001   33      Buyse, Marin                         0           26917             1.0         34 w 1 
001   34      Solis Calancha, Jordi             1561           17688             0.0         33 b 0 
001   35      Simeons, Jean                     1444           19635             0.0         36 w 0 
001   36      Dumovski, Nikola                     0           26892             1.0         35 b 1 
001   37      Yacef, Keltoum                       0           15602             0.0         38 w 0 
001   38      Jadoul, Mathys                    1331           17129             1.0         37 b 1 
001   39      Moedts, Benoît                       0           28089             1.0         40 w 1 
001   40      Dutillieux, Valentin                 0           27399             0.0         39 b 0 
001   41      Vanhamme, Patrick                 1791           93891             0.5         42 w = 
001   42      Coutton, Vincent                  1655           19813             0.5         41 b = 
001   43      Tavernier, Frank                  1621           85642             0.5         44 w = 
001   44      Caufriez, Olivier                 1772           85031             0.5         43 b = 
001   45      Chokouhian, Ahmad                 1731           25844             1.0         46 w 1 
001   46      Lannoye, Cédric                   1419           25065             0.0         45 b 0 
001   47      Jijin, Thanmay                       0           26527             0.0         48 w 0 
001   48      Kasumov, Namik                    1549           25744             1.0         47 b 1 
001   49      Couniot, Jacques                  1645           22688             1.0         50 w 1 
001   50      De Nys, Noa                       1327           17171             0.0         49 b 0 
001   51      Giannone, Angelo                     0           25492             1.0         52 w 1 
001   52      Gravini, Edwin                    1447           50133             0.0         51 b 0 
001   53      Baccus, Michel                    1381           70386             0.5         54 w = 
001   54      Loes, Pierre                      1305           97627             0.5         53 b = 
001   55      Dufrasne, Lucas                   1272           25209             1.0         56 w 1 
001   56      Albert, Johann                    1299           23278             0.0         55 b 0 
001   57      Chantry, Vincent                  1420           68292             0.5         58 w = 
001   58      Van Bael, Pascal                  1589           85472             0.5         57 b = 
001   59      Descamps, Thomas                  1478           23292             0.0         60 w 0 
001   60      Delvaux, Guy                      1431           82856             1.0         59 b 1 
001   61      Chantry, Simon                       0           23119             0.0         62 w 0 
001   62      Kellner, Yohan                    1467           60673             1.0         61 b 1 
001   63      Descamps, Philippe                   0           27428             0.0         64 w 0 
001   64      Monnom, Matteo                     965           24559             1.0         63 b 1 
001   65      Remience, Frédéric                1426           24828             0.0         66 w 0 
001   66      Wauters, Ladislas                 1278           20799             1.0         65 b 1 
001   67      Cantraine, Nicolas                   0           27027             1.0         68 w 1 
001   68      Foucart, Olivier                  1300           23295             0.0         67 b 0 
001   69      Lopez Monedero, Jesus             1257           25758             0.5         70 w = 
001   70      Romero Flores, Jose Miguel        1257           24669             0.5         69 b = 
001   71      Romero Flores, Lucía Paola           0           24673             0.5         72 w = 
001   72      Jacob, Raphaël                    1283           23270             0.5         71 b = 
001   73      Auquier, Yvan                     1571           80195             0.0         74 w 0 
001   74      Barbier, Francois                 1494           68691             1.0         73 b 1 
001   75      Lejeune, Samuel                   1399           69990             1.0         76 w 1 
001   76      Buyens, Régis                     1517           50865             0.0         75 b 0 
001   77      Vandevannet, Tristan              1540           24240             1.0         78 w 1 
001   78      Villers, Yves                     1449           95704             0.0         77 b 0 
001   79      Dal Zot, David                       0           17544             1.0         80 w 1 
001   80      Piette, Pol-Henri                 1241           73229             0.0         79 b 0 
001   81      Drossart, Julien                  1453           63771             1.0         82 w 1 
001   82      Hakim, Emmanuel                   1443           12407             0.0         81 b 0 
001   83      Toti, Guido                       1356           22035             0.0         84 w 0 
001   84      Lepape, Philippe                  1363           67971             1.0         83 b 1 
001   85      Hainaut, Julien                      0           27504             0.0         86 w 0 
001   86      Montagne, Jean-Claude             1462           64548             1.0         85 b 1 
001   87      Desauw, Alfons                    1467           64416             0.5         88 w = 
001   88      Schleck, Victor                   1591           99031             0.5         87 b = 
001   89      Peters, Lucas                     1267           14658             1.0         90 w 1 
001   90      Klinkenberg, Jan                  1327           18905             0.0         89 b 0 
001   91      Pluymen, Karl-Heinz               1287           19463             1.0         92 w 1 
001   92      Hilgers, Norbert                  1150           96997             0.0         91 b 0 
001   93      Hoffmann, Sam                        0           19459             0.0         94 w 0 
001   94      Hermens, Juergen                  1169           98744             1.0         93 b 1 
001   95      Pham Kieu, Khanh                  1328           20509             0.0         96 w 0 
001   96      Loucheur, Jean-Philippe           1791           76155             1.0         95 b 1 
001   97      De Groot, Frans                      0           27305             1.0         98 w 1 
001   98      Pinet, Valentine                  1244           19029             0.0         97 b 0 
001   99      Gou, Axelle                       1003           20852             0.0        100 w 0 
001  100      Pironet, Quentin                     0           26870             1.0         99 b 1 
001  101      Souirji, Victor                      0           27993             1.0        102 w 1 
001  102      Valenson, Lou                        0           26877             0.0        101 b 0 
001  103      Lalkota, Sai Pranav Tejas         1518           23773             0.0        104 w 0 
001  104      Hilgers, Garry                    1657           10780             1.0        103 b 1 
001  105      Simons, Jean                      1788           48895             1.0        106 w 1 
001  106      Cakmak, Metehan Tugra             1434           24131             0.0        105 b 0 
001  107      Kshirsagar, Parth                 1258           22601             1.0        108 w 1 
001  108      Faymonville, Marcel               1324           95093             0.0        107 b 0 
001  109      Dahm, Thomas                         0           28093             1.0        110 w 1 
001  110      Lalkota, Naresh Kumar             1273           24231             0.0        109 b 0 
001  111      Benaissa, Mustapha                1214           25916             0.0        112 w 0 
001  112      Corda, Thierry                    1772           72583             1.0        111 b 1 
001  113      Houbben, Johnny                   1427           23126             0.0        114 w 0 
001  114      Vanvlasselaer, Michael            1171           24812             1.0        113 b 1 
001  115      Rumler, Maxime                       0           25139             0.0        116 w 0 
001  116      Grignard, Loïc                    1274           19653             1.0        115 b 1 
001  117      Delvaux, Lucas                       0           27965             1.0        118 w 1 
001  118      Canicatti, Salvatore                 0           25627             0.0        117 b 0 
001  119      Nyssen, Christoph                 1701           99724             0.0        120 w 0 
