00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 1 à 1
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=704 R=1 S=24/09/23 E=24/09/23 +278 =148 -278
012 Belgian Interclubs 2023 - 2024 - Round 1
022 Various locations in Belgian Clubs
032 BEL
042 2023-09-24
052 2023-09-24
062 704
102 Cornet, Luc
132                                                                                        23.09.24 
001    1      Moens, Bernard                    1625           93661             1.0          2 w 1 
001    2      Vienne, Corentin                     0           26065             0.0          1 b 0 
001    3      Bergamini, Massimo                1497           23740             0.0          4 w 0 
001    4      Delmee, Pierre                    1542           22801             1.0          3 b 1 
001    5      Lejeune, Samuel                   1399           69990             1.0          6 w 1 
001    6      Massoulie, Francois               1419           82457             0.0          5 b 0 
001    7      Castiau, Julien                   1485           55549             1.0          8 w 1 
001    8      Mariavelle, Roland                1370           50962             0.0          7 b 0 
001    9      Cazenave, Bruno                   1555           24975             0.0         10 w 0 
001   10      Solis Calancha, Jordi             1561           17688             1.0          9 b 1 
001   11      Simeons, Jean                     1444           19635             0.5         12 w = 
001   12      Van De Craen, Piet                1524            7013             0.5         11 b = 
001   13      Wanschoor, Sean                   1429           24947             1.0         14 w 1 
001   14      Lemesre, Alexis                   1248           22200             0.0         13 b 0 
001   15      Van Nedervelde, Antoine           1174           19930             1.0         16 w 1 
001   16      Desadeleer, Geoffrey              1323           16626             0.0         15 b 0 
001   17      Daems, Thibaut                    1461           23263             1.0         18 w 1 
001   18      Lunev, Vitaly                     1588           23046             0.0         17 b 0 
001   19      Pierrard, David                   1284           23350             0.0         20 w 0 
001   20      Pauwels, Wout                     1388           16062             1.0         19 b 1 
001   21      Przybyszewski, Mateusz               0           15013             1.0         22 w 1 
001   22      Jijin, Thanmay                       0           26527             0.0         21 b 0 
001   23      Paul, Jonathan                    1150           25773             0.5         24 w = 
001   24      De Cat, Timo                         0           21599             0.5         23 b = 
001   25      Herpigny, Yves                    1631           86045             0.0         26 w 0 
001   26      Cornil, Etienne                   1925           35556             1.0         25 b 1 
001   27      Lemaitre, Didier                  1872           68543             1.0         28 w 1 
001   28      Padovano, Quentin                 1461           60619             0.0         27 b 0 
001   29      Urbanska Richel, Cassiel             0           23063             0.5         30 w = 
001   30      Fontigny, François                1716            9067             0.5         29 b = 
001   31      Lhoir, Thierry                    1556           83879             1.0         32 w 1 
001   32      Hans, Samuel                         0           26465             0.0         31 b 0 
001   33      Slechten, Tim                     1663           23555             0.5         34 w = 
001   34      Gonzalez Alvarez, Thomas          1519           21545             0.5         33 b = 
001   35      Caffonnette, Joachim                 0           22774             1.0         36 w 1 
001   36      Mathys, Yassine                      0           25047             0.0         35 b 0 
001   37      Keppens, James                    1473           25382             0.5         38 w = 
001   38      Duvillier, Frederic               1260           23092             0.5         37 b = 
001   39      Batista-Genot, Lou                   0           26761             0.0         40 w 0 
001   40      Talloen, Bert                     1365           15459             1.0         39 b 1 
001   41      Pepermans, Jelle                  1688           34045             0.5         42 w = 
001   42      Pereiro, Jorge                    1466           21451             0.5         41 b = 
001   43      Gatta, Bruno                      1330           58017             0.0         44 w 0 
001   44      Maesschalck, Vincent              1648           31895             1.0         43 b 1 
001   45      Boustany, Georges                 1547           17662             1.0         46 w 1 
001   46      Rojas Fernández, Álvaro              0           26980             0.0         45 b 0 
001   47      Grasis, Marks                        0           26988             0.0         48 w 0 
001   48      Geerts, Steven                    1476           98431             1.0         47 b 1 
001   49      Pirson, Francois                  1372           20695             0.5         50 w = 
001   50      Frere, Eugène                     1427           17782             0.5         49 b = 
001   51      Sieber, Sven                      1386           22107             1.0         52 w 1 
001   52      El Korbi, Mohamed                    0           27213             0.0         51 b 0 
001   53      Coomans, Anne-Catherine           1150           24611             0.0         54 w 0 
001   54      Giannone, Angelo                     0           25492             1.0         53 b 1 
001   55      Loes, Pierre                      1305           97627             1.0         56 w 1 
001   56      Lhoist, Yolaine                      0           25597             0.0         55 b 0 
001   57      Marchal, Patrice                  1764           76601             1.0         58 w 1 
001   58      Grijp, Peter                      1852           93599             0.0         57 b 0 
001   59      Vermoesen, Jordan                 1764           25749             1.0         60 w 1 
001   60      Ho, Sy Le                         1590           23402             0.0         59 b 0 
001   61      Longfils, Damien                  1402           24542             0.5         62 w = 
001   62      Semal, Sebastien                  1477           22809             0.5         61 b = 
001   63      Lemoine, Christian                1496           97702             0.0         64 w 0 
001   64      Pitropakis, Kyriakos              1524           43605             1.0         63 b 1 
001   65      Buffo, Rinaldo                    1423           26134             0.5         66 w = 
001   66      Derzelle, Alessandro              1489           60205             0.5         65 b = 
001   67      Van Bael, Amandine                1150           16892             0.0         68 w 0 
001   68      Russo, Italo                      1368           71684             1.0         67 b 1 
001   69      D'Amico, Luciano                  1255           93149             0.0         70 w 0 
001   70      Descamps, Iris                    1150           24251             1.0         69 b 1 
001   71      Couniot, Jacques                  1645           22688             1.0         72 w 1 
001   72      Drossart, Julien                  1453           63771             0.0         71 b 0 
001   73      Lepape, Philippe                  1363           67971             0.0         74 w 0 
001   74      Bracq, Christian                  1634           14956             1.0         73 b 1 
001   75      Bracq, Gregory                    1568           14963             0.0         76 w 0 
001   76      Kouptchinsky, Christian              0           26437             1.0         75 b 1 
001   77      Kouptchinsky, Simon                  0           26439             0.0         78 w 0 
001   78      Gravini, Edwin                    1447           50133             1.0         77 b 1 
001   79      Amoroso, Thomas                   1449           23960             1.0         80 w 1 
001   80      Mac Donough, Guillaume            1479           23177             0.0         79 b 0 
001   81      Ruelens, Thierry                  1369           62278             0.5         82 w = 
001   82      Lopez Monedero, Jesus             1257           25758             0.5         81 b = 
001   83      Jacob, Raphaël                    1283           23270             1.0         84 w 1 
001   84      Rorive, Alain                     1200           70033             0.0         83 b 0 
001   85      Ragogna, Thierry                  1059           73598             0.0         86 w 0 
001   86      Cascarano, Sandro                    0           23611             1.0         85 b 1 
001   87      Coibion, Charles                  2181           71455             0.5         88 w = 
001   88      Corda, Thierry                    1772           72583             0.5         87 b = 
001   89      Houbben, Johnny                   1427           23126             0.0         90 w 0 
001   90      Stefos, Stefanos                  1807           27282             1.0         89 b 1 
001   91      De Groot, Frans                      0           27305             1.0         92 w 1 
001   92      Arguelles, Jose                   1311           98434             0.0         91 b 0 
001   93      Arguelles Sanchez, Jordi          1348           24898             0.0         94 w 0 
001   94      Pironet, Quentin                     0           26870             1.0         93 b 1 
001   95      Schleck, Victor                   1591           99031             0.0         96 w 0 
001   96      Boissel, Kasimir                  1816           27496             1.0         95 b 1 
001   97      Van Lochem, Alex                  1648           23766             1.0         98 w 1 
001   98      Peters, Lucas                     1267           14658             0.0         97 b 0 
001   99      Litt, Thibo                       1163           18057             0.0        100 w 0 
001  100      Van Onckelen, Noam                1276           22798             1.0         99 b 1 
001  101      Toledo, Michael                      0           23838             1.0        102 w 1 
001  102      Louvet, Dylan                        0           17634             0.0        101 b 0 
001  103      Ali Ou Alla, Hassan                  0           26904             0.0        104 w 0 
001  104      Sproten, Raphael                  1635           94072             1.0        103 b 1 
001  105      Biegmann, Mirco                   1181           12956             1.0        106 w 1 
001  106      Katalina, Jérémy                     0           26785             0.0        105 b 0 
001  107      Marghem, Emile                       0           27003             0.0        108 w 0 
001  108      Velz, Michael                        0           18917             1.0        107 b 1 
001  109      Kelek, Mustafa                       0           26422             1.0        110 w 1 
001  110      Kaiser, Simon                        0           26882             0.0        109 b 0 
001  111      Desauw, Alfons                    1467           64416             0.5        112 w = 
001  112      De Ryck, Jacques                  1419           62812             0.5        111 b = 
001  113      Vanvlasselaer, Michael            1171           24812             0.0        114 w 0 
001  114      Klinkenberg, Jan                  1327           18905             1.0        113 b 1 
001  115      Pluymen, Karl-Heinz               1287           19463             0.0        116 w 0 
001  116      Benaissa, Mustapha                1214           25916             1.0        115 b 1 
001  117      Rumler, Maxime                       0           25139             0.0        118 w 0 
001  118      Hermens, Juergen                  1169           98744             1.0        117 b 1 
001  119      Pham Kieu, Khanh                  1328           20509             0.0        120 w 0 
001  120      Cornet, Luc                       1776            8419             1.0        119 b 1 
001  121      Goenen, Ferhat                    1739           37311             1.0        122 w 1 
001  122      Pinet, Valentine                  1244           19029             0.0        121 b 0 
001  123      Heldenbergh, Izia                 1165           17772             0.0        124 w 0 
001  124      Kshirsagar, Pranav                1672           22600             1.0        123 b 1 
001  125      Cakmak, Metehan Tugra             1434           24131             1.0        126 w 1 
001  126      Gou, Axelle                       1003           20852             0.0        125 b 0 
001  127      Deprez, Tarcis                    1549           65803             0.5        128 w = 
001  128      Speybroeck, Eric                  1682           27502             0.5        127 b = 
001  129      Traest, Philip                    1378            6190             0.5        130 w = 
001  130      Withouck, Jonas                   1208           15171             0.5        129 b = 
001  131      Ravelingien, Emiel                   0           21203             0.0        132 w 0 
001  132      Picqueur, Eric                    1151           24015             1.0        131 b 1 
001  133      Vincent, Albert                   1154            7102             1.0        134 w 1 
001  134      Demuenynck, Giordano                 0           24585             0.0        133 b 0 
001  135      Van Vooren, Marc                  1680           41629             0.0        136 w 0 
001  136      Denys, Alex                       2160           21873             1.0        135 b 1 
001  137      Dezutter, Johan                   1859           31640             0.5        138 w = 
001  138      Van Damme, Patrick                1671           10626             0.5        137 b = 
001  139      Haers, Luc                        1415           98226             0.5        140 w = 
001  140      Van Kerkhove, Piet                1698           12092             0.5        139 b = 
001  141      Van Gompel, Hugo                  1344            2526             1.0        142 w 1 
001  142      Neyt, Joris                       1374           10228             0.0        141 b 0 
001  143      Ulenaers, Marc                    1713           89508             1.0        144 w 1 
001  144      Meijfroidt, Bart                  1604           55468             0.0        143 b 0 
001  145      Lenoir, Aurèle                    1550           22250             0.0        146 w 0 
001  146      Deblauwe, Pauwel                  1672             213             1.0        145 b 1 
001  147      Renckens, Yannick                 1537            5177             0.5        148 w = 
001  148      Lucas, Jean                       1531           12629             0.5        147 b = 
001  149      Vandenbussche, Dries              1321           11793             1.0        150 w 1 
001  150      Degrieck, Peter                   1429           54429             0.0        149 b 0 
001  151      Penninck, Wim                     1577            2984             0.5        152 w = 
001  152      De Geeter, Arne                   1528           11712             0.5        151 b = 
001  153      Heyerick, Anton                   1540            8931             0.5        154 w = 
001  154      Ost, Roger                        1552           97150             0.5        153 b = 
001  155      Bekaert, Dylan                       0           22180             0.0        156 w 0 
001  156      Van Stechelman, Stan                 0           23622             1.0        155 b 1 
001  157      Van De Velde, Stijn                  0           24903             0.5        158 w = 
001  158      Desloovere, Peter                 1434           17482             0.5        157 b = 
001  159      Bartier, Wieland                  1514           17299             0.0        160 w 0 
001  160      Bernaert, Michael                 1784           36811             1.0        159 b 1 
001  161      Van Rillaer, Dirk                 1575           36331             0.0        162 w 0 
001  162      Kim, Oleg                         1495           12340             1.0        161 b 1 
001  163      Vannecke, Ben                     1244           19375             0.5        164 w = 
001  164      Suski, Dominiek                   1498           32247             0.5        163 b = 
001  165      De Meyere, Dirk                   1455           58947             1.0        166 w 1 
001  166      Meyns, Alexander                     0           27160             0.0        165 b 0 
001  167      Timmermans, Stefan                1807           39829             0.0        168 w 0 
001  168      Vervloet, Staf                    1676           49654             1.0        167 b 1 
001  169      Geukens, Staf                     1636           27243             1.0        170 w 1 
001  170      Hanssen, Casper                   1349           19131             0.0        169 b 0 
001  171      Beckers, Seth                     1350           23102             1.0        172 w 1 
001  172      Vlaeyens, Manu                    1442           37427             0.0        171 b 0 
