00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 5 à 5
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=686 R=1 S=03/12/23 E=03/12/23 +272 =142 -272
012 Belgian Interclubs 2023 - 2024 - Round 5
022 Various locations in Belgian Clubs
032 BEL
042 2023-12-03
052 2023-12-03
062 686
102 Cornet, Luc
132                                                                                        23.12.03 
001    1      Lavrysen, Nathan                  1383           21666             0.5          2 w = 
001    2      Vienne, Corentin                     0           26065             0.5          1 b = 
001    3      Castiau, Julien                   1485           55549             0.5          4 w = 
001    4      Migerode, Sten                       0           25219             0.5          3 b = 
001    5      Hosseini, Hamid Reze                 0           26872             0.0          6 w 0 
001    6      Claerbout, Stef                      0           21400             1.0          5 b 1 
001    7      Herpigny, Yves                    1631           86045             0.5          8 w = 
001    8      Cazenave, Bruno                   1555           24975             0.5          7 b = 
001    9      Van De Craen, Piet                1524            7013             0.5         10 w = 
001   10      Hans, Samuel                         0           26465             0.5          9 b = 
001   11      Simon, Fernand                    1341           14019             0.0         12 w 0 
001   12      Rotthier, Géry                    1355           45365             1.0         11 b 1 
001   13      Desadeleer, Geoffrey              1323           16626             1.0         14 w 1 
001   14      Nagy, Peter                       1197           12898             0.0         13 b 0 
001   15      Slechten, Tim                     1663           23555             1.0         16 w 1 
001   16      Moens, Bernard                    1625           93661             0.0         15 b 0 
001   17      Delmee, Pierre                    1542           22801             1.0         18 w 1 
001   18      Vanvlierberghe, Leonard           1539           25483             0.0         17 b 0 
001   19      Keppens, James                    1473           25382             1.0         20 w 1 
001   20      Cuitte, Olivier                   1476           90085             0.0         19 b 0 
001   21      Engelen, Audric                   1398           76708             1.0         22 w 1 
001   22      Talloen, Bert                     1365           15459             0.0         21 b 0 
001   23      De Mol, Patrick                   1765           57011             1.0         24 w 1 
001   24      Janssens, Thierry                 1929           70599             0.0         23 b 0 
001   25      Solis Calancha, Jordi             1561           17688             1.0         26 w 1 
001   26      Pepermans, Jelle                  1688           34045             0.0         25 b 0 
001   27      Geerts, Steven                    1476           98431             0.0         28 w 0 
001   28      Simeons, Jean                     1444           19635             1.0         27 b 1 
001   29      Wery, Laurent                     1222           14814             0.5         30 w = 
001   30      Willocx Vandeven, Bob                0           25727             0.5         29 b = 
001   31      Gatta, Bruno                      1330           58017             1.0         32 w 1 
001   32      Tavernier, Frank                  1621           85642             0.0         31 b 0 
001   33      Lunev, Vitaly                     1588           23046             0.0         34 w 0 
001   34      Grammatikopoulos, Ioannis         1300           19684             1.0         33 b 1 
001   35      Amelotti, Alessandro              1304           14809             1.0         36 w 1 
001   36      Solano, Luca                      1159           22444             0.0         35 b 0 
001   37      Haenecour, Alain                     0           27028             0.0         38 w 0 
001   38      Grasis, Marks                        0           26988             1.0         37 b 1 
001   39      De Landtsheer, Jean-Michel        1449           17413             1.0         40 w 1 
