00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 5 à 5
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=930 R=1 S=03/12/23 E=03/12/23 +321 =288 -321
012 Belgian Interclubs 2023 - 2024 - Round 5
022 Various locations in Belgian Clubs
032 BEL
042 2023-12-03
052 2023-12-03
062 930
102 Cornet, Luc
132                                                                                        23.12.03 
001    1      Travadon, Loic                    2440           24915             1.0          2 w 1 
001    2      Marechal, Andy                    2318           50211             0.0          1 b 0 
001    3      Bolzoni, Victor-Angel             2193           66150             0.0          4 w 0 
001    4      Roebers, Eline                    2390           24682             1.0          3 b 1 
001    5      Beukema, Stefan                   2434           49921             1.0          6 w 1 
001    6      Werner, Ivan                      2072           50474             0.0          5 b 0 
001    7      Geuquet, Michaël                  1985           86215             0.0          8 w 0 
001    8      De Waele, Warre                   2299           13376             1.0          7 b 1 
001    9      De Vleeschauwer, Maarten          2254           10185             0.0         10 w 0 
001   10      Vernimmen, Pierre                 1949           16068             1.0          9 b 1 
001   11      Vansilliette, Louis               1726           22694             0.0         12 w 0 
001   12      Sterck, Arno                      2263           10284             1.0         11 b 1 
001   13      De Feijter, Bas                   2214           10670             1.0         14 w 1 
001   14      Barbier, Francois                 1494           68691             0.0         13 b 0 
001   15      Van Brussel, Thomas               1336           21048             0.5         16 w = 
001   16      Van Houtte, Randy                 2099           10283             0.5         15 b = 
001   17      Schuh, Dirk                       2362           13604             0.5         18 w = 
001   18      Dgebuadze, Alexandre              2439           49301             0.5         17 b = 
001   19      Pham, Khoi                        2356           24764             1.0         20 w 1 
001   20      Gulbas, Cemil                     2354           91367             0.0         19 b 0 
001   21      Alienkin, Aleksander              2334           10252             0.5         22 w = 
001   22      Matnadze, Ana                     2400           17438             0.5         21 b = 
001   23      Rakhmangulova, Anastasiya         2354           26755             0.5         24 w = 
001   24      Stillger, Bernhard                2285           15798             0.5         23 b = 
001   25      Cordts, Ingo                      2242           19730             0.5         26 w = 
001   26      De Rover, Yong Hoon               2319           16455             0.5         25 b = 
001   27      Grochal, Joey                     2234           50251             1.0         28 w 1 
001   28      Lafosse, Jimmy                    2221           73270             0.0         27 b 0 
001   29      Asadzade, Idris                   2203           24840             0.5         30 w = 
001   30      Damen, Jip                        2219           19646             0.5         29 b = 
001   31      Van Vliet, Dennis                 2063           26492             0.5         32 w = 
001   32      Lesueur Rognerud, Gabriel         2118           27343             0.5         31 b = 
001   33      Kuipers, Stefan                   2451           17626             0.5         34 w = 
001   34      Defromont, Benjamin               2418           19724             0.5         33 b = 
001   35      Beukema, Jasper                   2321           50086             0.5         36 w = 
001   36      Baselmans, Luuk                   2307           17529             0.5         35 b = 
001   37      Haast, Anne                       2308           17632             0.0         38 w 0 
001   38      Decrop, Benjamin                  2176           28436             1.0         37 b 1 
001   39      Bouhallel, Rabah                  2239            1759             0.0         40 w 0 
001   40      Colijn, Stefan                    2224           11532             1.0         39 b 1 
001   41      Rooze, Jan                        2260           28045             0.0         42 w 0 
001   42      Timmerman Gert, Jan               2207           43648             1.0         41 b 1 
001   43      Roger, Mehdi                      2131           76368             0.5         44 w = 
001   44      Baselmans, Sam                    2209           17532             0.5         43 b = 
001   45      De Wachter, Matthias              2305           12424             0.0         46 w 0 
001   46      Peeren, Yen                       2110           22764             1.0         45 b 1 
001   47      Cocquyt, Tijs                     2037           30805             0.5         48 w = 
001   48      Boeykens, Marc                    2146           67946             0.5         47 b = 
001   49      Godart, François                  2378           71757             0.5         50 w = 
001   50      Åkesson, Ralf                     2388           75515             0.5         49 b = 
001   51      Sirosh, Ilja                      2363           24765             1.0         52 w 1 
001   52      Lenaerts, Lennert                 2348            3003             0.0         51 b 0 
