00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 1 à 1
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=942 R=1 S=24/09/23 E=24/09/23 +317 =308 -317
012 Belgian Interclubs 2023 - 2024 - Round 1
022 Various locations in Belgian Clubs
032 BEL
042 2023-09-24
052 2023-09-24
062 942
102 Cornet, Luc
132                                                                                        23.09.24 
001    1      Beukema, Jasper                   2321           50086             0.0          2 w 0 
001    2      Gurevich, Mikhail                 2557           70092             1.0          1 b 1 
001    3      Sochacki, Christophe              2452           17720             1.0          4 w 1 
001    4      Decrop, Benjamin                  2176           28436             0.0          3 b 0 
001    5      Bouhallel, Rabah                  2239            1759             0.5          6 w = 
001    6      Marechal, Andy                    2318           50211             0.5          5 b = 
001    7      Sochacki, Wojtek                  2327           14849             1.0          8 w 1 
001    8      Timmerman Gert, Jan               2207           43648             0.0          7 b 0 
001    9      Roger, Mehdi                      2131           76368             1.0         10 w 1 
001   10      Denayer, Eric                     2125           76929             0.0          9 b 0 
001   11      Werner, Ivan                      2072           50474             0.0         12 w 0 
001   12      Decrop, Hendrik                   2083           28908             1.0         11 b 1 
001   13      Peeren, Yen                       2110           22764             1.0         14 w 1 
001   14      Uhoda, Philippe                   2049           63011             0.0         13 b 0 
001   15      Geuquet, Michaël                  1985           86215             0.0         16 w 0 
001   16      Cocquyt, Tijs                     2037           30805             1.0         15 b 1 
001   17      Dgebuadze, Alexandre              2439           49301             0.0         18 w 0 
001   18      Åkesson, Ralf                     2388           75515             1.0         17 b 1 
001   19      Sirosh, Ilja                      2363           24765             0.0         20 w 0 
001   20      Pham, Khoi                        2356           24764             1.0         19 b 1 
001   21      Matnadze, Ana                     2400           17438             0.5         22 w = 
001   22      Goossens, Roel                    2370           23108             0.5         21 b = 
001   23      Dauw, Sterre                      2234           15269             0.0         24 w 0 
001   24      Muetsch, Annmarie                 2262           26763             1.0         23 b 1 
001   25      Blom, Vincent                     2293           14781             0.5         26 w = 
001   26      Praet, Maarten                    2236            6084             0.5         25 b = 
001   27      Tonoli, Benjamin                  2183           16365             0.5         28 w = 
001   28      Grochal, Joey                     2234           50251             0.5         27 b = 
001   29      Stange, Sven                      2155           12850             0.5         30 w = 
001   30      Verheyden, Jonas                  2109           32328             0.5         29 b = 
001   31      Van Espen, Eddy                   2036           56332             0.0         32 w 0 
001   32      Elgersma, Onno                    2266           23436             1.0         31 b 1 
001   33      Beerdsen, Thomas                  2496           16505             0.5         34 w = 
001   34      Burg, Twan                        2530           60243             0.5         33 b = 
001   35      Nagy, Gabor                       2439           19579             0.5         36 w = 
001   36      Zwirs, Nico                       2451           19800             0.5         35 b = 
001   37      Roebers, Eline                    2390           24682             1.0         38 w 1 
001   38      Galyas, Miklos                    2467           23240             0.0         37 b 0 
001   39      Berczes, David                    2445           24981             0.0         40 w 0 
001   40      Beukema, Stefan                   2434           49921             1.0         39 b 1 
001   41      De Waele, Warre                   2299           13376             0.5         42 w = 
001   42      Niermann, Tristan                 2387           27455             0.5         41 b = 
001   43      Lemmers, Oscar                    2351            5584             0.5         44 w = 
001   44      Van Dael, Siem                    2321           21345             0.5         43 b = 
001   45      Sterck, Arno                      2263           10284             1.0         46 w 1 
001   46      Harff, Marcel                     2295           14131             0.0         45 b 0 
001   47      Meessen, Rudolf                   2173             345             0.0         48 w 0 
001   48      De Feijter, Bas                   2214           10670             1.0         47 b 1 
001   49      Zelbel, Patrick                   2471           12330             1.0         50 w 1 
001   50      Ikonnikov, Vyacheslav             2459           99627             0.0         49 b 0 
001   51      Lopez, Jasel                      2383           15782             0.5         52 w = 
001   52      Levin, Felix                      2450           43427             0.5         51 b = 
001   53      Hausrath, Daniel                  2462           96784             1.0         54 w 1 
001   54      Wunnink, Michael                  2215            5142             0.0         53 b 0 
001   55      Bezemer, Arno                     2210           52191             0.0         56 w 0 
001   56      Milov, Leonid                     2422           12332             1.0         55 b 1 
001   57      Gulbas, Cemil                     2354           91367             1.0         58 w 1 
001   58      Visser, Henk-Jan                  2210           19872             0.0         57 b 0 
001   59      Groffen, Hans                     2064           24601             0.5         60 w = 
001   60      Balduan, Markus                   2286           61891             0.5         59 b = 
001   61      Litwak, Aleksej                   2288           95074             0.5         62 w = 
001   62      Ghysels, Chris                    2053           26638             0.5         61 b = 
001   63      Galle, Andre                      1987           38342             0.0         64 w 0 
001   64      Lafosse, Jimmy                    2221           73270             1.0         63 b 1 
001   65      Kuipers, Stefan                   2451           17626             1.0         66 w 1 
001   66      Bauer, Christian                  2552           78794             0.0         65 b 0 
001   67      Fernandez, Daniel Howard          2537           19637             1.0         68 w 1 
001   68      Baselmans, Luuk                   2307           17529             0.0         67 b 0 
001   69      De Strycker, Nathan               2261           56863             0.0         70 w 0 
001   70      Pijpers, Arthur                   2433           15625             1.0         69 b 1 
001   71      Van Der Stricht, Geert            2325           44504             0.5         72 w = 
001   72      Colijn, Stefan                    2224           11532             0.5         71 b = 
001   73      Baselmans, Sam                    2209           17532             0.0         74 w 0 
001   74      Ruzhansky, Elias                  2230           21132             1.0         73 b 1 
001   75      Draftian, Ashote                  2271           20354             0.0         76 w 0 
001   76      Boeykens, Marc                    2146           67946             1.0         75 b 1 
001   77      Butzen, Robin                     2062           13707             0.0         78 w 0 
001   78      Polak, Alexander                  2192           26876             1.0         77 b 1 
001   79      Vanheirzeele, Daniel              2051           35572             1.0         80 w 1 
001   80      Lagendijk, Ivo                    1797           15824             0.0         79 b 0 
001   81      Godart, François                  2378           71757             0.0         82 w 0 
001   82      Ernst, Sipke                      2551           15046             1.0         81 b 1 
001   83      Leenhouts, Koen                   2445           35181             1.0         84 w 1 
001   84      Lenaerts, Lennert                 2348            3003             0.0         83 b 0 
001   85      Kollen, Zyon                      2333           26836             0.0         86 w 0 
