00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 8 à 8
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=936 R=1 S=18/02/24 E=18/02/24 +315 =306 -315
012 Belgian Interclubs 2023 - 2024 - Round 8
022 Various locations in Belgian Clubs
032 BEL
042 2024-02-18
052 2024-02-18
062 936
102 Cornet, Luc
132                                                                                        24.02.18 
001    1      Marechal, Andy                    2318           50211             0.5          2 w = 
001    2      Feygin, Michael                   2470           95281             0.5          1 b = 
001    3      Korneev, Oleg                     2465           17653             1.0          4 w 1 
001    4      Werner, Ivan                      2072           50474             0.0          3 b 0 
001    5      Uhoda, Philippe                   2049           63011             0.0          6 w 0 
001    6      Niermann, Tristan                 2387           27455             1.0          5 b 1 
001    7      Harff, Marcel                     2295           14131             1.0          8 w 1 
001    8      Hafner, Christian                 2036           60296             0.0          7 b 0 
001    9      Geuquet, Michaël                  1985           86215             0.5         10 w = 
001   10      Ahn, Martin                       2186           93815             0.5          9 b = 
001   11      Meessen, Rudolf                   2173             345             0.5         12 w = 
001   12      Guion, Geoffrey                   1998           81604             0.5         11 b = 
001   13      Vernimmen, Pierre                 1949           16068             0.0         14 w 0 
001   14      Sonntag, Hans-Hubert              2286           98680             1.0         13 b 1 
001   15      Dardha, Arben                     2269           20214             1.0         16 w 1 
001   16      Vansilliette, Louis               1726           22694             0.0         15 b 0 
001   17      Åkesson, Ralf                     2388           75515             0.5         18 w = 
001   18      Ikonnikov, Vyacheslav             2459           99627             0.5         17 b = 
001   19      Peek, Marcel                      2240           28151             0.5         20 w = 
001   20      Sirosh, Ilja                      2363           24765             0.5         19 b = 
001   21      Goossens, Roel                    2370           23108             0.5         22 w = 
001   22      Wunnink, Michael                  2215            5142             0.5         21 b = 
001   23      Bezemer, Arno                     2210           52191             1.0         24 w 1 
001   24      Leunis, Geert                     2283             621             0.0         23 b 0 
001   25      Dauw, Sterre                      2234           15269             1.0         26 w 1 
001   26      Deberdt, Joris                    2120           14103             0.0         25 b 0 
001   27      Groffen, Hans                     2064           24601             0.0         28 w 0 
001   28      Praet, Maarten                    2236            6084             1.0         27 b 1 
001   29      Tonoli, Benjamin                  2183           16365             1.0         30 w 1 
001   30      Ghysels, Chris                    2053           26638             0.0         29 b 0 
001   31      Riemens, Albert                   2019           10413             0.5         32 w = 
