00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 7 à 7
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=938 R=1 S=04/02/24 E=04/02/24 +304 =330 -304
012 Belgian Interclubs 2023 - 2024 - Round 7
022 Various locations in Belgian Clubs
032 BEL
042 2024-02-04
052 2024-02-04
062 938
102 Cornet, Luc
132                                                                                        24.02.04 
001    1      Van Den Doel, Erik                2550           99279             0.0          2 w 0 
001    2      Gurevich, Mikhail                 2557           70092             1.0          1 b 1 
001    3      Marechal, Andy                    2318           50211             0.5          4 w = 
001    4      Orlov, Andrey                     2499           95042             0.5          3 b = 
001    5      Zelbel, Patrick                   2471           12330             1.0          6 w 1 
001    6      Jens, Jelmer                      2392           11517             0.0          5 b 0 
001    7      Erwich, Marc                      2334           60302             0.0          8 w 0 
001    8      Petrov, Marian                    2439           14138             1.0          7 b 1 
001    9      Schuh, Dirk                       2362           13604             1.0         10 w 1 
001   10      Klinova, Masha                    2249           61859             0.0          9 b 0 
001   11      Bolzoni, Victor-Angel             2193           66150             0.5         12 w = 
001   12      Gulbas, Cemil                     2354           91367             0.5         11 b = 
001   13      Kartsev, Soel                     2139           95056             1.0         14 w 1 
001   14      Werner, Ivan                      2072           50474             0.0         13 b 0 
001   15      Uhoda, Philippe                   2049           63011             0.5         16 w = 
001   16      Thirion, Marcel                   2044           97136             0.5         15 b = 
001   17      Baselmans, Luuk                   2307           17529             0.0         18 w 0 
001   18      Beerdsen, Thomas                  2496           16505             1.0         17 b 1 
001   19      Zwirs, Nico                       2451           19800             1.0         20 w 1 
001   20      De Strycker, Nathan               2261           56863             0.0         19 b 0 
001   21      Colijn, Stefan                    2224           11532             0.0         22 w 0 
001   22      Roebers, Eline                    2390           24682             1.0         21 b 1 
001   23      Beukema, Stefan                   2434           49921             1.0         24 w 1 
001   24      Rooze, Jan                        2260           28045             0.0         23 b 0 
001   25      Baselmans, Sam                    2209           17532             0.5         26 w = 
001   26      De Waele, Warre                   2299           13376             0.5         25 b = 
001   27      Van Dael, Siem                    2321           21345             1.0         28 w 1 
001   28      Boeykens, Marc                    2146           67946             0.0         27 b 0 
001   29      Keustermans, Helmut               1951           57304             0.0         30 w 0 
001   30      De Feijter, Bas                   2214           10670             1.0         29 b 1 
001   31      Van Houtte, Randy                 2099           10283             1.0         32 w 1 
001   32      Vercammen, Robert                 1955           52469             0.0         31 b 0 
001   33      Godart, François                  2378           71757             0.5         34 w = 
001   34      Larkin, Vladyslav                 2477           24621             0.5         33 b = 
001   35      Pham, Khoi                        2356           24764             0.5         36 w = 
001   36      Lai, Hing Ting                    2465           15697             0.5         35 b = 
001   37      Lenaerts, Lennert                 2348            3003             0.5         38 w = 
001   38      Milliet, Sophie                   2391           23134             0.5         37 b = 
001   39      Matnadze, Ana                     2400           17438             1.0         40 w 1 
001   40      Kollen, Zyon                      2333           26836             0.0         39 b 0 
001   41      Sarrau, Jelle                     2353           39012             0.5         42 w = 
001   42      Rakhmangulova, Anastasiya         2354           26755             0.5         41 b = 
001   43      Blom, Vincent                     2293           14781             1.0         44 w 1 
001   44      Sidiropoulos, Nikolaos            2215           21157             0.0         43 b 0 
001   45      Heldenbergh, Nils                 2041           14450             1.0         46 w 1 
001   46      Grochal, Joey                     2234           50251             0.0         45 b 0 
001   47      Elgersma, Onno                    2266           23436             1.0         48 w 1 
001   48      Battistelli, Fausto               1854           22370             0.0         47 b 0 
001   49      Leenhouts, Koen                   2445           35181             1.0         50 w 1 
001   50      Beukema, Jasper                   2321           50086             0.0         49 b 0 
001   51      Decrop, Benjamin                  2176           28436             0.5         52 w = 
001   52      Vandenbussche, Thibaut            2434           25836             0.5         51 b = 
001   53      Maerevoet, Sim                    2426           10832             1.0         54 w 1 
001   54      Bouhallel, Rabah                  2239            1759             0.0         53 b 0 
001   55      Timmerman Gert, Jan               2207           43648             0.5         56 w = 
001   56      Motwani, Paul                     2410           27448             0.5         55 b = 
001   57      De Schampheleire, Glen            2374           10270             1.0         58 w 1 
001   58      Roger, Mehdi                      2131           76368             0.0         57 b 0 
001   59      Marchand, Werner                  1975           87513             0.0         60 w 0 
001   60      Decoster, Frederic                2285           25615             1.0         59 b 1 
001   61      Piceu, Tom                        2303           51861             1.0         62 w 1 
