00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 4 à 4
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=686 R=1 S=19/11/23 E=19/11/23 +283 =120 -283
012 Belgian Interclubs 2023 - 2024 - Round 4
022 Various locations in Belgian Clubs
032 BEL
042 2023-11-19
052 2023-11-19
062 686
102 Cornet, Luc
132                                                                                        23.11.19 
001    1      Vienne, Corentin                     0           26065             1.0          2 w 1 
001    2      Meerschman, Maxime                1387           60220             0.0          1 b 0 
001    3      Dutillieux, Valentin                 0           27399             0.0          4 w 0 
001    4      Bergamini, Massimo                1497           23740             1.0          3 b 1 
001    5      Castiau, Julien                   1485           55549             1.0          6 w 1 
001    6      Batista-Genot, Lou                   0           26761             0.0          5 b 0 
001    7      Laghmich, Anese                      0           26857             0.0          8 w 0 
001    8      Hosseini, Hamid Reze                 0           26872             1.0          7 b 1 
001    9      Vanhamme, Patrick                 1791           93891             1.0         10 w 1 
001   10      Pereiro, Jorge                    1466           21451             0.0          9 b 0 
001   11      Gatta, Bruno                      1330           58017             0.0         12 w 0 
001   12      Gravidez, Tagumpay                1773           59382             1.0         11 b 1 
001   13      Caufriez, Olivier                 1772           85031             0.5         14 w = 
001   14      Grammatikopoulos, Ioannis         1300           19684             0.5         13 b = 
001   15      Rojas Fernández, Álvaro              0           26980             0.5         16 w = 
001   16      Fontigny, François                1716            9067             0.5         15 b = 
001   17      Lunev, Vitaly                     1588           23046             0.5         18 w = 
001   18      De Mol, Patrick                   1765           57011             0.5         17 b = 
001   19      Pepermans, Jelle                  1688           34045             0.0         20 w 0 
001   20      Lannoye, Cédric                   1419           25065             1.0         19 b 1 
001   21      Pierrard, David                   1284           23350             0.5         22 w = 
001   22      Hernalsteen, Johan                1556            5932             0.5         21 b = 
001   23      Barneveld, Maarten                   0           26893             1.0         24 w 1 
001   24      Abdullah, Youssef                    0           26967             0.0         23 b 0 
001   25      Solis Calancha, Jordi             1561           17688             1.0         26 w 1 
001   26      Slechten, Tim                     1663           23555             0.0         25 b 0 
001   27      Mathys, Yassine                      0           25047             0.0         28 w 0 
001   28      Gruson, Fabien                    1525           14627             1.0         27 b 1 
001   29      Simeons, Jean                     1444           19635             0.0         30 w 0 
001   30      Keppens, James                    1473           25382             1.0         29 b 1 
001   31      Talloen, Bert                     1365           15459             0.5         32 w = 
001   32      Vanderplasschen, Luca             1132           24820             0.5         31 b = 
001   33      Moens, Bernard                    1625           93661             0.0         34 w 0 
001   34      Caels, Viviane                    1850           97101             1.0         33 b 1 
001   35      Van Mol, Yves                     1427           46302             0.0         36 w 0 
001   36      Lejeune, Samuel                   1399           69990             1.0         35 b 1 
001   37      Engelen, Audric                   1398           76708             1.0         38 w 1 
001   38      Ladurner, Ulrich                  1352           23987             0.0         37 b 0 
001   39      Heynsmans, Michel                 1402           60620             1.0         40 w 1 
001   40      Mariavelle, Roland                1370           50962             0.0         39 b 0 
001   41      Vahlefeld, Michael                1804           99562             1.0         42 w 1 
