00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 10 à 10
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=922 R=1 S=24/03/24 E=24/03/24 +295 =332 -295
012 Belgian Interclubs 2023 - 2024 - Round 10
022 Various locations in Belgian Clubs
032 BEL
042 2024-03-24
052 2024-03-24
062 922
102 Cornet, Luc
132                                                                                        24.03.24 
001    1      Gurevich, Mikhail                 2557           70092             0.5          2 w = 
001    2      Åkesson, Ralf                     2388           75515             0.5          1 b = 
001    3      Sirosh, Ilja                      2363           24765             1.0          4 w 1 
001    4      Marechal, Andy                    2318           50211             0.0          3 b 0 
001    5      Jens, Jelmer                      2392           11517             0.5          6 w = 
001    6      Goossens, Roel                    2370           23108             0.5          5 b = 
001    7      Dauw, Sterre                      2234           15269             0.0          8 w 0 
001    8      Erwich, Marc                      2334           60302             1.0          7 b 1 
001    9      Klinova, Masha                    2249           61859             0.5         10 w = 
001   10      Tonoli, Benjamin                  2183           16365             0.5          9 b = 
001   11      Verheyden, Jonas                  2109           32328             1.0         12 w 1 
001   12      Bolzoni, Victor-Angel             2193           66150             0.0         11 b 0 
001   13      Denayer, Eric                     2125           76929             0.5         14 w = 
001   14      Walter, Ema                       2063           27232             0.5         13 b = 
001   15      Van Espen, Eddy                   2036           56332             0.5         16 w = 
001   16      Werner, Ivan                      2072           50474             0.5         15 b = 
001   17      Defromont, Benjamin               2418           19724             0.0         18 w 0 
001   18      Dardha, Daniel                    2582           13815             1.0         17 b 1 
001   19      Glek, Igor                        2429           98035             1.0         20 w 1 
001   20      Beukema, Jasper                   2321           50086             0.0         19 b 0 
001   21      Decrop, Benjamin                  2176           28436             0.5         22 w = 
001   22      Lemmers, Oscar                    2351            5584             0.5         21 b = 
001   23      Klein, Felix                      2300           98574             0.0         24 w 0 
001   24      Bouhallel, Rabah                  2239            1759             1.0         23 b 1 
001   25      Timmerman Gert, Jan               2207           43648             0.5         26 w = 
001   26      Harff, Marcel                     2295           14131             0.5         25 b = 
001   27      Meessen, Rudolf                   2173             345             0.5         28 w = 
