00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 3 à 3
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=934 R=1 S=22/10/23 E=22/10/23 +303 =328 -303
012 Belgian Interclubs 2023 - 2024 - Round 3
022 Various locations in Belgian Clubs
032 BEL
042 2023-10-22
052 2023-10-22
062 934
102 Cornet, Luc
132                                                                                        23.10.22 
001    1      Dgebuadze, Alexandre              2439           49301             0.5          2 w = 
001    2      Gurevich, Mikhail                 2557           70092             0.5          1 b = 
001    3      Marechal, Andy                    2318           50211             0.0          4 w 0 
001    4      Pham, Khoi                        2356           24764             1.0          3 b 1 
001    5      Matnadze, Ana                     2400           17438             1.0          6 w 1 
001    6      Jens, Jelmer                      2392           11517             0.0          5 b 0 
001    7      Klinova, Masha                    2249           61859             0.0          8 w 0 
001    8      Vucinic, Gojko                    2361           16439             1.0          7 b 1 
001    9      Blom, Vincent                     2293           14781             0.5         10 w = 
001   10      Denayer, Eric                     2125           76929             0.5          9 b = 
001   11      Werner, Ivan                      2072           50474             0.0         12 w 0 
001   12      De Rover, Yong Hoon               2319           16455             1.0         11 b 1 
001   13      Grochal, Joey                     2234           50251             1.0         14 w 1 
001   14      Geuquet, Michaël                  1985           86215             0.0         13 b 0 
001   15      Vernimmen, Pierre                 1949           16068             0.0         16 w 0 
001   16      Damen, Jip                        2219           19646             1.0         15 b 1 
001   17      Fridman, Daniel                   2581           95064             0.5         18 w = 
001   18      Beukema, Jasper                   2321           50086             0.5         17 b = 
001   19      Decrop, Benjamin                  2176           28436             0.0         20 w 0 
001   20      Beukema, Stefan                   2434           49921             1.0         19 b 1 
001   21      De Waele, Warre                   2299           13376             1.0         22 w 1 
001   22      Bouhallel, Rabah                  2239            1759             0.0         21 b 0 
001   23      Timmerman Gert, Jan               2207           43648             0.0         24 w 0 
001   24      Bosman, Michiel                   2366           24680             1.0         23 b 1 
001   25      Zatonskih, Anna                   2363           60612             1.0         26 w 1 
001   26      Roger, Mehdi                      2131           76368             0.0         25 b 0 
001   27      Demarcke, Dirk                    2153           55999             0.5         28 w = 
001   28      De Vleeschauwer, Maarten          2254           10185             0.5         27 b = 
001   29      Van Dael, Siem                    2321           21345             1.0         30 w 1 
001   30      Peeren, Yen                       2110           22764             0.0         29 b 0 
001   31      Cocquyt, Tijs                     2037           30805             0.5         32 w = 
001   32      De Feijter, Bas                   2214           10670             0.5         31 b = 
001   33      Van Den Doel, Erik                2550           99279             0.5         34 w = 
001   34      Sirosh, Ilja                      2363           24765             0.5         33 b = 
001   35      Goossens, Roel                    2370           23108             1.0         36 w 1 
001   36      Orlov, Andrey                     2499           95042             0.0         35 b 0 
001   37      Zelbel, Patrick                   2471           12330             1.0         38 w 1 
001   38      Leunis, Geert                     2283             621             0.0         37 b 0 
001   39      Dauw, Sterre                      2234           15269             1.0         40 w 1 
001   40      Levin, Felix                      2450           43427             0.0         39 b 0 
001   41      Gulbas, Cemil                     2354           91367             1.0         42 w 1 
001   42      Praet, Maarten                    2236            6084             0.0         41 b 0 
001   43      Tonoli, Benjamin                  2183           16365             0.5         44 w = 
001   44      Alienkin, Aleksander              2334           10252             0.5         43 b = 
001   45      Stillger, Bernhard                2285           15798             1.0         46 w 1 
001   46      Verheyden, Jonas                  2109           32328             0.0         45 b 0 
001   47      Walter, Ema                       2063           27232             1.0         48 w 1 
001   48      Lafosse, Jimmy                    2221           73270             0.0         47 b 0 
