00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 4 à 4
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=948 R=1 S=19/11/23 E=19/11/23 +312 =324 -312
012 Belgian Interclubs 2023 - 2024 - Round 4
022 Various locations in Belgian Clubs
032 BEL
042 2023-11-19
052 2023-11-19
062 948
102 Cornet, Luc
132                                                                                        23.11.19 
001    1      Gurevich, Mikhail                 2557           70092             1.0          2 w 1 
001    2      Pijpers, Arthur                   2433           15625             0.0          1 b 0 
001    3      Tjiam, Dharma                     2371           47384             0.5          4 w = 
001    4      Droin, Augustin                   2468           27441             0.5          3 b = 
001    5      Sochacki, Christophe              2452           17720             1.0          6 w 1 
001    6      Van Der Stricht, Geert            2325           44504             0.0          5 b 0 
001    7      Ruzhansky, Elias                  2230           21132             0.5          8 w = 
001    8      Marechal, Andy                    2318           50211             0.5          7 b = 
001    9      Sochacki, Wojtek                  2327           14849             0.0         10 w 0 
001   10      Draftian, Ashote                  2271           20354             1.0          9 b 1 
001   11      Goormachtigh, Johan               2184            1864             0.5         12 w = 
001   12      Bolzoni, Victor-Angel             2193           66150             0.5         11 b = 
001   13      Denayer, Eric                     2125           76929             0.5         14 w = 
001   14      Lebon, Olivier                    1779           11173             0.5         13 b = 
001   15      Van De Wynkele, Rudy              1895            9679             0.0         16 w 0 
001   16      Werner, Ivan                      2072           50474             1.0         15 b 1 
001   17      Ikonnikov, Vyacheslav             2459           99627             1.0         18 w 1 
001   18      Leenhouts, Koen                   2445           35181             0.0         17 b 0 
001   19      Vandenbussche, Thibaut            2434           25836             1.0         20 w 1 
001   20      Bezemer, Arno                     2210           52191             0.0         19 b 0 
001   21      Visser, Henk-Jan                  2210           19872             0.0         22 w 0 
001   22      Maerevoet, Sim                    2426           10832             1.0         21 b 1 
001   23      Geirnaert, Steven                 2438           10391             1.0         24 w 1 
001   24      Hovenga, Alje                     2163           15081             0.0         23 b 0 
001   25      Deberdt, Joris                    2120           14103             0.0         26 w 0 
001   26      Motwani, Paul                     2410           27448             1.0         25 b 1 
001   27      De Schampheleire, Glen            2374           10270             1.0         28 w 1 
001   28      Groffen, Hans                     2064           24601             0.0         27 b 0 
001   29      Hoffman, Ron                      2032           43664             0.5         30 w = 
001   30      Decoster, Frederic                2285           25615             0.5         29 b = 
001   31      Viaene, Arvid                     2172           10375             0.5         32 w = 
001   32      Galle, Andre                      1987           38342             0.5         31 b = 
001   33      Seel, Christian                   2477           81574             0.5         34 w = 
001   34      Godart, François                  2378           71757             0.5         33 b = 
001   35      Lai, Hing Ting                    2465           15697             1.0         36 w 1 
001   36      Feygin, Michael                   2470           95281             0.0         35 b 0 
