00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 8 à 8
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=666 R=1 S=18/02/24 E=18/02/24 +261 =144 -261
012 Belgian Interclubs 2023 - 2024 - Round 8
022 Various locations in Belgian Clubs
032 BEL
042 2024-02-18
052 2024-02-18
062 666
102 Cornet, Luc
132                                                                                        24.02.18 
001    1      Vienne, Corentin                     0           26065             1.0          2 w 1 
001    2      Lenoir, Thierry                   1661           60275             0.0          1 b 0 
001    3      Lunev, Vitaly                     1588           23046             1.0          4 w 1 
001    4      Massoulie, Francois               1419           82457             0.0          3 b 0 
001    5      Castiau, Julien                   1485           55549             0.5          6 w = 
001    6      Lannoye, Cédric                   1419           25065             0.5          5 b = 
001    7      Pierrard, David                   1284           23350             1.0          8 w 1 
001    8      Hosseini, Hamid Reze                 0           26872             0.0          7 b 0 
001    9      Solis Calancha, Jordi             1561           17688             0.0         10 w 0 
001   10      Edwards, Geraint                  1968           13049             1.0          9 b 1 
001   11      Marchand, Jean-Louis              1793           62987             0.0         12 w 0 
001   12      Lepoutre, Florian                 1457           16316             1.0         11 b 1 
001   13      Simeons, Jean                     1444           19635             0.0         14 w 0 
001   14      Fontigny, François                1716            9067             1.0         13 b 1 
001   15      Collette, Joachim                    0           27158             0.0         16 w 0 
001   16      Jadoul, Mathys                    1331           17129             1.0         15 b 1 
001   17      Moens, Bernard                    1625           93661             1.0         18 w 1 
001   18      Meerschman, Maxime                1387           60220             0.0         17 b 0 
001   19      Duvillier, Frederic               1260           23092             0.0         20 w 0 
001   20      Delmee, Pierre                    1542           22801             1.0         19 b 1 
001   21      Lejeune, Samuel                   1399           69990             0.0         22 w 0 
001   22      Batista-Genot, Lou                   0           26761             1.0         21 b 1 
001   23      Vanderbeck, Nicolas                  0           27009             1.0         24 w 1 
001   24      Coomans, Anne-Catherine           1150           24611             0.0         23 b 0 
001   25      Cazenave, Bruno                   1555           24975             1.0         26 w 1 
001   26      Gatta, Bruno                      1330           58017             0.0         25 b 0 
001   27      Amelotti, Alessandro              1304           14809             1.0         28 w 1 
001   28      Van De Craen, Piet                1524            7013             0.0         27 b 0 
001   29      Rotthier, Géry                    1355           45365             1.0         30 w 1 
001   30      Rojas Fernández, Álvaro              0           26980             0.0         29 b 0 
001   31      Rios Diaz, Francisco                 0           24837             1.0         32 w 1 
001   32      Desadeleer, Geoffrey              1323           16626             0.0         31 b 0 
001   33      Daems, Thibaut                    1461           23263             0.0         34 w 0 
001   34      De Mol, Patrick                   1765           57011             1.0         33 b 1 
001   35      Pepermans, Jelle                  1688           34045             1.0         36 w 1 
