00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 10 à 10
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=670 R=1 S=24/03/24 E=24/03/24 +270 =130 -270
012 Belgian Interclubs 2023 - 2024 - Round 10
022 Various locations in Belgian Clubs
032 BEL
042 2024-03-24
052 2024-03-24
062 670
102 Cornet, Luc
132                                                                                        24.03.24 
001    1      Vienne, Corentin                     0           26065             1.0          2 w 1 
001    2      Simeons, Jean                     1444           19635             0.0          1 b 0 
001    3      Jadoul, Mathys                    1331           17129             1.0          4 w 1 
001    4      Massoulie, Francois               1419           82457             0.0          3 b 0 
001    5      Castiau, Julien                   1485           55549             1.0          6 w 1 
001    6      Lemesre, Alexis                   1248           22200             0.0          5 b 0 
001    7      Van Hoey, Luca                    1179           21559             1.0          8 w 1 
001    8      Hosseini, Hamid Reze                 0           26872             0.0          7 b 0 
001    9      Moens, Bernard                    1625           93661             0.0         10 w 0 
001   10      Coutton, Maxence                  1620           18798             1.0          9 b 1 
001   11      Lantreibecq, Luca                 1671           15312             0.5         12 w = 
001   12      Delmee, Pierre                    1542           22801             0.5         11 b = 
001   13      Lejeune, Samuel                   1399           69990             1.0         14 w 1 
001   14      Lunev, Vitaly                     1588           23046             0.0         13 b 0 
001   15      Verhaegen, Léon                      0           26507             1.0         16 w 1 
001   16      Squélart, François                1238           69183             0.0         15 b 0 
001   17      Thierens, Christian               1815           49425             1.0         18 w 1 
001   18      Lopez, Raphael                    1579           97603             0.0         17 b 0 
001   19      Lauwers, François                 1519           60353             0.0         20 w 0 
001   20      Van De Craen, Piet                1524            7013             1.0         19 b 1 
001   21      Maquoi, Sophie                    1330           60017             0.0         22 w 0 
001   22      Tellier, Louise-Marie             1150           12134             1.0         21 b 1 
001   23      Paquereau-Gaboreau, Tanguy        1504           25662             1.0         24 w 1 
001   24      Desadeleer, Geoffrey              1323           16626             0.0         23 b 0 
001   25      Daems, Thibaut                    1461           23263             1.0         26 w 1 
001   26      Yacef, Keltoum                       0           15602             0.0         25 b 0 
001   27      Mayor, Alain                         0           25168             0.5         28 w = 
001   28      Pauwels, Wout                     1388           16062             0.5         27 b = 
001   29      Templereau, Brice                    0           27531             1.0         30 w 1 
001   30      De Cat, Timo                         0           21599             0.0         29 b 0 
001   31      Caels, Viviane                    1850           97101             1.0         32 w 1 
001   32      Wolff, Oren                       1387           19619             0.0         31 b 0 
001   33      Gatta, Bruno                      1330           58017             1.0         34 w 1 
001   34      Herpigny, Yves                    1631           86045             0.0         33 b 0 
001   35      Hans, Samuel                         0           26465             0.5         36 w = 
001   36      Grammatikopoulos, Ioannis         1300           19684             0.5         35 b = 
001   37      Rios Diaz, Francisco                 0           24837             0.0         38 w 0 
001   38      Simon, Fernand                    1341           14019             1.0         37 b 1 
001   39      Slechten, Tim                     1663           23555             0.5         40 w = 
001   40      Casier, Wim                       2080            2607             0.5         39 b = 
001   41      De Mol, Patrick                   1765           57011             1.0         42 w 1 
001   42      Mathys, Yassine                      0           25047             0.0         41 b 0 
001   43      Vasylchenko, Maksym               1435           26501             0.5         44 w = 
001   44      Pepermans, Jelle                  1688           34045             0.5         43 b = 
001   45      Boustany, Georges                 1547           17662             1.0         46 w 1 
001   46      Keppens, James                    1473           25382             0.0         45 b 0 
001   47      Loes, Pierre                      1305           97627             0.5         48 w = 
001   48      Pauwels, Christophe               1867           77054             0.5         47 b = 
001   49      Vermoesen, Jordan                 1764           25749             1.0         50 w 1 
001   50      Dufrasne, Lucas                   1272           25209             0.0         49 b 0 
001   51      Legrand, Arthur                      0           20062             1.0         52 w 1 
001   52      Colombo, Fabio                    1505           12754             0.0         51 b 0 
001   53      Semal, Sebastien                  1477           22809             0.5         54 w = 
001   54      Konidakis, Nicolas                   0           22909             0.5         53 b = 
001   55      Villers, Yves                     1449           95704             0.0         56 w 0 
001   56      Brasselle, André                  1872           61069             1.0         55 b 1 
001   57      Wattin, Joffrey                   1879           61301             1.0         58 w 1 
001   58      Braet, Thierry                    1439           86576             0.0         57 b 0 
001   59      Pirson, Francois                  1372           20695             0.0         60 w 0 
001   60      Romboni, Charles                  1510           13053             1.0         59 b 1 
001   61      Bury, Martin                      1317           23972             1.0         62 w 1 
001   62      Mariavelle, Roland                1370           50962             0.0         61 b 0 
001   63      Ho, Sy Le                         1590           23402             1.0         64 w 1 
001   64      Drossart, Julien                  1453           63771             0.0         63 b 0 
001   65      Lepape, Philippe                  1363           67971             0.0         66 w 0 
001   66      Marchal, Anaïs                    1511           12610             1.0         65 b 1 
001   67      Cantraine, Nicolas                   0           27027             1.0         68 w 1 
001   68      Crabeels, Thibault                   0           25087             0.0         67 b 0 
001   69      Gravini, Edwin                    1447           50133             0.0         70 w 0 
001   70      Ruelens, Thierry                  1369           62278             1.0         69 b 1 
001   71      Piette, Pol-Henri                 1241           73229             0.0         72 w 0 
001   72      Alary, Philippe                   1394           99966             1.0         71 b 1 
001   73      Riche, Hugo                          0           26971             1.0         74 w 1 
001   74      Rorive, Alain                     1200           70033             0.0         73 b 0 
001   75      Russo, Filippe                    1195           24003             1.0         76 w 1 
001   76      Baccus, Michel                    1381           70386             0.0         75 b 0 
001   77      Delvaux, Guy                      1431           82856             0.0         78 w 0 
001   78      Hermet, Eric                      1562           60727             1.0         77 b 1 
001   79      Giuliani, Oswald                  1314           74756             0.5         80 w = 
001   80      Thomas, John                      1328           19971             0.5         79 b = 
001   81      Chantry, Simon                       0           23119             0.0         82 w 0 
001   82      Jacob, Raphaël                    1283           23270             1.0         81 b 1 
001   83      Cascarano, Sandro                    0           23611             1.0         84 w 1 
001   84      Monnom, Matteo                     965           24559             0.0         83 b 0 
001   85      Simons, Jean                      1788           48895             0.0         86 w 0 
001   86      Boissel, Kasimir                  1816           27496             1.0         85 b 1 
001   87      Gerard, Mark                      1785           69141             1.0         88 w 1 
001   88      Jenniges, Klaus                   1371           98612             0.0         87 b 0 
001   89      Faymonville, Marcel               1324           95093             0.0         90 w 0 
001   90      Van Lochem, Alex                  1648           23766             1.0         89 b 1 
001   91      Mathonet, Corentin                1568           14377             0.5         92 w = 
001   92      Bastin, Hubert                    1418           13111             0.5         91 b = 
001   93      Coibion, Charles                  2181           71455             1.0         94 w 1 
001   94      Gupta, Akul                       1358           23771             0.0         93 b 0 
001   95      Weber, Peter                      1354           24868             0.5         96 w = 
001   96      Loucheur, Jean-Philippe           1791           76155             0.5         95 b = 
001   97      De Groot, Frans                      0           27305             1.0         98 w 1 
001   98      Frenzel, Qorianka                 1165           23839             0.0         97 b 0 
001   99      Biegmann, Mirco                   1181           12956             0.0        100 w 0 
001  100      Pironet, Quentin                     0           26870             1.0         99 b 1 
001  101      Thomas, Walter                    1648           13024             0.5        102 w = 
001  102      De Ryck, Jacques                  1419           62812             0.5        101 b = 
001  103      Vanvlasselaer, Miguel                0           25646             1.0        104 w 1 
001  104      Mackels, Mika                     1186           12920             0.0        103 b 0 
001  105      Litt, Thibo                       1163           18057             0.0        106 w 0 
001  106      Benaissa, Mustapha                1214           25916             1.0        105 b 1 
001  107      Vanvlasselaer, Michael            1171           24812             1.0        108 w 1 
001  108      Hilgers, Norbert                  1150           96997             0.0        107 b 0 
001  109      Paulus, Werner                    1533           20885             1.0        110 w 1 
001  110      Pham Kieu, Khanh                  1328           20509             0.0        109 b 0 
001  111      Pinet, Valentine                  1244           19029             0.0        112 w 0 
001  112      Klinkenberg, Jan                  1327           18905             1.0        111 b 1 
001  113      Pluymen, Karl-Heinz               1287           19463             1.0        114 w 1 
001  114      Pham Hoang, Minh                     0           26020             0.0        113 b 0 
001  115      Pinet, Soline                        0           24302             0.0        116 w 0 
001  116      Hermens, Juergen                  1169           98744             1.0        115 b 1 
001  117      Vandevelde, Luc                   1472           36366             0.0        118 w 0 
001  118      Van Kerkhove, Piet                1698           12092             1.0        117 b 1 
001  119      Chwihnh, Amer                     1614           17608             1.0        120 w 1 
001  120      Lambrecht, Milan                     0           26990             0.0        119 b 0 
001  121      Bleyaert, Stefaan                 1424           15630             0.0        122 w 0 
001  122      De Muyter, Willy                  1594           21320             1.0        121 b 1 
001  123      Van Gompel, Hugo                  1344            2526             0.0        124 w 0 
001  124      Pierloot, Siebe                   1183           22100             1.0        123 b 1 
001  125      De Brouwere, Johan                1632           30988             0.5        126 w = 
001  126      Lenoir, Aurèle                    1550           22250             0.5        125 b = 
001  127      Verslype, Geert                   1508           12710             1.0        128 w 1 
001  128      Stragier, Dries                   1505           96469             0.0        127 b 0 
001  129      Claeys, Ignaas                    1449           40932             0.0        130 w 0 
001  130      Lucas, Jean                       1531           12629             1.0        129 b 1 
001  131      Vandenbussche, Dries              1321           11793             1.0        132 w 1 
001  132      José, Rodrigo                        0           27179             0.0        131 b 0 
001  133      Van Damme, Patrick                1671           10626             0.5        134 w = 
001  134      De Geeter, Arne                   1528           11712             0.5        133 b = 
001  135      De Lathouwer, Marc                1654           47341             0.5        136 w = 
001  136      Facchin, Ronald                   1389           21971             0.5        135 b = 
001  137      Haers, Luc                        1415           98226             0.5        138 w = 
001  138      Heyerick, Anton                   1540            8931             0.5        137 b = 
001  139      Van De Velde, Stijn                  0           24903             1.0        140 w 1 
001  140      Neyt, Joris                       1374           10228             0.0        139 b 0 
001  141      Petralia, Fabio                   1657           11450             0.5        142 w = 
001  142      Gallein, Peter                    2033           98460             0.5        141 b = 
001  143      Bernaert, Michael                 1784           36811             1.0        144 w 1 
001  144      Ulenaers, Marc                    1713           89508             0.0        143 b 0 
001  145      Renckens, Yannick                 1537            5177             0.0        146 w 0 
001  146      Suski, Dominiek                   1498           32247             1.0        145 b 1 
001  147      De Meyere, Dirk                   1455           58947             0.0        148 w 0 
001  148      Fontaine, Sean                       0           26088             1.0        147 b 1 
001  149      Ost, Roger                        1552           97150             1.0        150 w 1 
001  150      Nolf, Francky                     1628           24074             0.0        149 b 0 
001  151      Doom, Etienne                     1510           68705             0.0        152 w 0 
001  152      Simoes Pinto, Nuno Miguel         1525           16435             1.0        151 b 1 
001  153      Bekaert, Dylan                       0           22180             0.0        154 w 0 
001  154      Kim, Oleg                         1495           12340             1.0        153 b 1 
001  155      Bruyneel, Anita                   1321           18155             0.0        156 w 0 
001  156      Desloovere, Peter                 1434           17482             1.0        155 b 1 
001  157      Vervloet, Staf                    1676           49654             1.0        158 w 1 
001  158      Renders, Henk                     1417           21392             0.0        157 b 0 
001  159      Smets, Steff                         0           27184             0.5        160 w = 
001  160      Geukens, Staf                     1636           27243             0.5        159 b = 
001  161      Vlaeyens, Manu                    1442           37427             0.5        162 w = 
001  162      De Groof, Mathijs                 1229           18979             0.5        161 b = 
001  163      Toroptsev, Kristian               1237           22027             1.0        164 w 1 
001  164      De Praitere, Hannes               1509           17527             0.0        163 b 0 
001  165      Kumpen, Kurt                      1508           13618             1.0        166 w 1 
001  166      Goossens, Alexander               1532           11413             0.0        165 b 0 
001  167      Roymans, Liese                    1489           16158             1.0        168 w 1 
001  168      Dethier, Krista                   1471           10701             0.0        167 b 0 
001  169      Neyens, Peter                     1328           18881             0.0        170 w 0 
001  170      Mareels Dutry, Jasper                0           26036             1.0        169 b 1 
001  171      Cristino, Gregory                 1763           12595             0.0        172 w 0 
001  172      Stynen, Koen                      2052           41076             1.0        171 b 1 
001  173      Carmans, Wesley                   1617           14958             0.0        174 w 0 
001  174      Cypers, Alexandre                 1762           15780             1.0        173 b 1 
001  175      Bair, Marc                        1676           94501             0.5        176 w = 
001  176      Ulburghs, Piet                    1589           59960             0.5        175 b = 
001  177      Nijssen, Tom                      1369           24994             0.5        178 w = 
001  178      Thirion, Jean-François            1566           66834             0.5        177 b = 
001  179      Groeneveld, Warre                 1496           17602             0.0        180 w 0 
001  180      Kshirsagar, Pranav                1672           22600             1.0        179 b 1 
001  181      Lalkota, Sai Pranav Tejas         1518           23773             1.0        182 w 1 
001  182      Mertens, Lesley                   1445           14973             0.0        181 b 0 
001  183      Vermeer, Stef                     1444           21766             0.0        184 w 0 
001  184      Cakmak, Metehan Tugra             1434           24131             1.0        183 b 1 
001  185      Kshirsagar, Parth                 1258           22601             0.0        186 w 0 
001  186      Trevisan, Giovanni                1300           24586             1.0        185 b 1 
001  187      Smirnov, Sergey                   1598           23194             0.0        188 w 0 
001  188      Jortay, Olivier                   1597           72427             1.0        187 b 1 
001  189      Orban, Didier                     1546           97157             0.0        190 w 0 
001  190      Claes, Yves                       1330           21869             1.0        189 b 1 
001  191      Algera, Rune                      1335           23707             0.0        192 w 0 
001  192      Morvrange, Camille                1492           27064             1.0        191 b 1 
001  193      Lazzari, Irène                    1311           25620             1.0        194 w 1 
001  194      Schouteden, Linda                 1150           19478             0.0        193 b 0 
001  195      Foulon, Greta                     1683           45675             0.5        196 w = 
001  196      Ok, Sidar                         1494           16415             0.5        195 b = 
001  197      Vandevelde, Aron                  1244           23765             0.0        198 w 0 
001  198      Buysse, Milo                         0           12709             1.0        197 b 1 
001  199      Van Eetvelde, Bart                1528           33146             1.0        200 w 1 
001  200      Van Beurden, Hanne                1348           26940             0.0        199 b 0 
001  201      Ok, Miro                             0           25302             1.0        202 w 1 
001  202      Bruynseels, Roger                 1338           41131             0.0        201 b 0 
001  203      Cillen, Jeroen                    1808           48259             1.0        204 w 1 
001  204      Geentjens, Pieter                 1585           42749             0.0        203 b 0 
001  205      Van Roy, Arno                     1437           50152             0.5        206 w = 
001  206      Van Hoof, Jan                     1842           32352             0.5        205 b = 
001  207      Tips, Tibo                        1435           13910             1.0        208 w 1 
001  208      Van Santvoort, Jeroen             1348            7579             0.0        207 b 0 
001  209      Ghisa, Robert                     1246           19889             0.5        210 w = 
001  210      Vandervoort, Michiel                 0           27328             0.5        209 b = 
001  211      Cao, Ying                            0           26398             0.0        212 w 0 
001  212      Amartib, Yassin                      0           27042             1.0        211 b 1 
001  213      De Groot, Teun                    1469           25703             1.0        214 w 1 
001  214      Li, Erik                             0           23909             0.0        213 b 0 
001  215      Li, Alex                             0           22751             0.0        216 w 0 
001  216      Molenaar, Bram                    1348           24835             1.0        215 b 1 
001  217      Motmans, Matthias                 1567           14552             0.5        218 w = 
001  218      Oliphant, Tim                     1512           12390             0.5        217 b = 
001  219      Brasseur, Paul                       0           26941             0.5        220 w = 
001  220      De Bie, Yannick                   1461           16762             0.5        219 b = 
001  221      Samson, Joeri                     1393           21514             0.5        222 w = 
001  222      Mennicken, Benoit                    0           27410             0.5        221 b = 
001  223      Steyt, Antoine                       0           26888             0.0        224 w 0 
001  224      Wittevrouw, Tom                   1352           19687             1.0        223 b 1 
001  225      Parssbai, Yanal                   1475           21232             0.0        226 w 0 
001  226      Torfs, Gert                       1593           13464             1.0        225 b 1 
001  227      Doossche, Carlo                   1512           53619             0.0        228 w 0 
001  228      Van Der Meulen, Maarten              0           26473             1.0        227 b 1 
001  229      Murali, Anushya                      0           23419             0.0        230 w 0 
001  230      Vilarnau, Enrique                 1552           24961             1.0        229 b 1 
001  231      Provoost, Benny                   1404           54852             1.0        232 w 1 
001  232      Vanhoof, Peter                       0           27770             0.0        231 b 0 
001  233      Duchesne, Marc                    1723           27278             0.0        234 w 0 
001  234      Harutyunyan, Axel                 1954           10415             1.0        233 b 1 
001  235      Gilson, Pacôme                    1341           20829             1.0        236 w 1 
001  236      Van Der Vurst, Adriaan            1791           36447             0.0        235 b 0 
001  237      Mariën, Niels                     1630           25257             1.0        238 w 1 
001  238      Shchetinin, Mykyta                1237           24637             0.0        237 b 0 
001  239      Kho, Justin                          0           26874             0.0        240 w 0 
001  240      Ducaert, Frederik                 1632           24597             1.0        239 b 1 
001  241      Weynen, John                      1512           95604             0.0        242 w 0 
001  242      Carpentier, Julian                1857           10500             1.0        241 b 1 
001  243      Van Gestel, Jef                   1596           25482             1.0        244 w 1 
001  244      Leyssen, Guido                    1404           11339             0.0        243 b 0 
001  245      Moeyersons, Koenraad              1414            6050             0.0        246 w 0 
001  246      Fleischeuer, Sebastian            1387           21682             1.0        245 b 1 
001  247      Vanderveken, Antoon               1385           20197             1.0        248 w 1 
001  248      Oudewaal, George                  1098           19719             0.0        247 b 0 
001  249      Baete, Guy                        1845           46281             1.0        250 w 1 
001  250      Rojas Garcia, Pablo                  0           26385             0.0        249 b 0 
001  251      Ertugrul, Yigit                   1486           24713             0.5        252 w = 
001  252      Jacobs, Paul                      1632           48968             0.5        251 b = 
001  253      Boersma, Cees                     1421           19585             1.0        254 w 1 
001  254      Tupikin, Viktor                   1471           24386             0.0        253 b 0 
001  255      Tahini, Bilal                        0           26659             0.0        256 w 0 
001  256      De Cock, Cesar                    1240           30066             1.0        255 b 1 
001  257      Theys, Bart                       1871           32298             1.0        258 w 1 
001  258      Liekens, Ronny                    1650           54267             0.0        257 b 0 
001  259      Dupont, Paul                      1614            6769             1.0        260 w 1 
001  260      Theys, Quinten                    1267           21753             0.0        259 b 0 
001  261      Raeymaekers, Timon                1251           17988             0.5        262 w = 
001  262      Van Leuven, Jan                      0           24890             0.5        261 b = 
001  263      Altatari, Mahmoud                 1324           25146             1.0        264 w 1 
001  264      Theys, Tristan                       0           21772             0.0        263 b 0 
001  265      Albrecht, Geert                   1606           13244             0.5        266 w = 
001  266      Cornelis, Werner                  1315            8788             0.5        265 b = 
001  267      Burgdorffer, Anton                1271           28576             0.0        268 w 0 
001  268      Vanden Eede, Pascal               1587           52035             1.0        267 b 1 
001  269      Vandenbroeck, Michel              1474           15394             0.5        270 w = 
001  270      De Visser, Stefaan                1324            6891             0.5        269 b = 
001  271      Audooren, Olaf                    1291           49263             0.0        272 w 0 
001  272      Goderis, Wim                      1439           22870             1.0        271 b 1 
001  273      Peeters, Seppe                    1529           48861             0.0        274 w 0 
001  274      Cauwenberghs, Kenneth             1521           47333             1.0        273 b 1 
001  275      Van Den Eede, Elias                  0           20227             0.5        276 w = 
001  276      Maas, Willem                      1343           14197             0.5        275 b = 
001  277      Vaes, Micah                          0           22609             0.5        278 w = 
001  278      Van Den Eede, Thomas                 0           20223             0.5        277 b = 
001  279      Vanbrussel, Kiran                    0           27538             1.0        280 w 1 
001  280      Huysmans, Jimmy                    935           19456             0.0        279 b 0 
001  281      Wildiers, Emmanuel                1546           23013             0.0        282 w 0 
001  282      Buytaert, Michael                 1587           52299             1.0        281 b 1 
001  283      Vermeulen, Thijs                  1237           16549             0.5        284 w = 
001  284      Campforts, Jurgen                 1445           13986             0.5        283 b = 
001  285      Pattyn, Fjodor                    1409           25154             0.0        286 w 0 
001  286      Goossens, Robin                      0           27015             1.0        285 b 1 
001  287      Entwistle, Alan                   1162           16771             0.0        288 w 0 
001  288      Schoofs, William                  1172           16453             1.0        287 b 1 
001  289      Vermeersch, Johan                 1457           54445             0.0        290 w 0 
001  290      Strobbe, Jacob                    1727           11260             1.0        289 b 1 
001  291      Vansteenhuyse, Rune               1699           14415             1.0        292 w 1 
001  292      Vanroose, Gunnar                  1329           11405             0.0        291 b 0 
001  293      De Wandel, Marc                   1442           10839             0.0        294 w 0 
001  294      Libbrecht, Peter                  1664           23884             1.0        293 b 1 
001  295      Vanbeselaere, Victor                 0           27325             1.0        296 w 1 
001  296      Vanaudenaerde, Roland             1501           19790             0.0        295 b 0 
