00A ### Interclubs
00B 1 rondes
00C Envoi des rondes 9 à 9
00D Envoi par : interclubs@frbe-kbsb-ksb.be
00E Envoi par le club : 998
00F P=948 R=1 S=10/03/24 E=10/03/24 +313 =322 -313
012 Belgian Interclubs 2023 - 2024 - Round 9
022 Various locations in Belgian Clubs
032 BEL
042 2024-03-10
052 2024-03-10
062 948
102 Cornet, Luc
132                                                                                        24.03.10 
001    1      Kuipers, Stefan                   2451           17626             0.0          2 w 0 
001    2      Gurevich, Mikhail                 2557           70092             1.0          1 b 1 
001    3      Marechal, Andy                    2318           50211             0.5          4 w = 
001    4      Baselmans, Luuk                   2307           17529             0.5          3 b = 
001    5      De Strycker, Nathan               2261           56863             1.0          6 w 1 
001    6      Bolzoni, Victor-Angel             2193           66150             0.0          5 b 0 
001    7      Werner, Ivan                      2072           50474             0.0          8 w 0 
001    8      Colijn, Stefan                    2224           11532             1.0          7 b 1 
001    9      Kryvolapov, Konstiantyn           2356           25153             1.0         10 w 1 
001   10      Uhoda, Philippe                   2049           63011             0.0          9 b 0 
001   11      Guion, Geoffrey                   1998           81604             0.0         12 w 0 
001   12      Rooze, Jan                        2260           28045             1.0         11 b 1 
001   13      Baselmans, Sam                    2209           17532             0.5         14 w = 
001   14      Vernimmen, Pierre                 1949           16068             0.5         13 b = 
001   15      Piraprez, Charles                 1849           18009             0.5         16 w = 
001   16      De Wachter, Matthias              2305           12424             0.5         15 b = 
001   17      Godart, François                  2378           71757             0.5         18 w = 
001   18      Orlov, Andrey                     2499           95042             0.5         17 b = 
001   19      Levin, Felix                      2450           43427             1.0         20 w 1 
001   20      Lenaerts, Lennert                 2348            3003             0.0         19 b 0 
001   21      Kollen, Zyon                      2333           26836             0.5         22 w = 
001   22      Hausrath, Daniel                  2462           96784             0.5         21 b = 
001   23      Hoffmann, Michael                 2412           98604             0.5         24 w = 
001   24      Fontaine, Quentin                 2318           10483             0.5         23 b = 
001   25      Sarrau, Jelle                     2353           39012             0.0         26 w 0 
